Identifiant;Nom du commerce;Numéro voie;Nom voie;Code postal;Nom commune;Longitude;Latitude;geo_shape;geo_point_2d
895;LES THES D EMILIE;76;BOULEVARD HAUSSMANN;0;;2.326254;48.874027;"{""coordinates"": [2.3262540001800978, 48.87402699888152], ""type"": ""Point""}";48.87402699888152, 2.3262540001800978
928;CENTRE PARIS ANIM  / CENTRE SOCIAL ANNIE FRATELLINI;36;QUAI DE LA RAPEE;0;;2.373244;48.841469;"{""coordinates"": [2.373244000087886, 48.84146899951015], ""type"": ""Point""}";48.84146899951015, 2.373244000087886
1015;L ENERGIE DES COULEURS;93;AVENUE DE LA BOURDONNAIS;0;;2.303369;48.855748;"{""coordinates"": [2.3033690003552647, 48.85574799882699], ""type"": ""Point""}";48.85574799882699, 2.3033690003552647
1080;LE WAGON BLEU;7;RUE BOURSAULT;0;;2.320537;48.88299;"{""coordinates"": [2.3205369994511327, 48.882989999094775], ""type"": ""Point""}";48.882989999094775, 2.3205369994511327
1091;MOT;6;RUE DE CONSTANTINOPLE;0;;2.321157;48.879819;"{""coordinates"": [2.32115700001759, 48.87981899944235], ""type"": ""Point""}";48.87981899944235, 2.32115700001759
948;LA GAITE LYRIQUE;0;RUE PAPIN;0;;2.353591;48.866831;"{""coordinates"": [2.353590999906657, 48.866830998822884], ""type"": ""Point""}";48.866830998822884, 2.353590999906657
1352;OPTIC 2000 PARIS CLIGNANCOURT;11;RUE DE CLIGNANCOURT;0;;2.347048;48.884511;"{""coordinates"": [2.347048000572575, 48.88451099892872], ""type"": ""Point""}";48.88451099892872, 2.347048000572575
1361;LB COIFFURE;3;RUE BLEUE;0;;2.347605;48.875762;"{""coordinates"": [2.3476049995818236, 48.87576199893159], ""type"": ""Point""}";48.87576199893159, 2.3476049995818236
1384;MICHELE;111;RUE DU FAUBOURG POISSONNIERE;0;;2.349052;48.877664;"{""coordinates"": [2.349052000194765, 48.877663999135166], ""type"": ""Point""}";48.877663999135166, 2.349052000194765
1480;LIBRAIRIE MARUANI LIBRAIRIE CAFE LECTURE GOURMANDE;171;BOULEVARD VINCENT AURIOL;0;;2.360313;48.831989;"{""coordinates"": [2.360312999892108, 48.8319889991721], ""type"": ""Point""}";48.8319889991721, 2.360312999892108
1396;LE BONNE NOUVELLE;24;BOULEVARD DE BONNE NOUVELLE;0;;2.350461;48.870425;"{""coordinates"": [2.3504610002458817, 48.87042499867527], ""type"": ""Point""}";48.87042499867527, 2.3504610002458817
1417;RIZ DJONDJON;291;RUE SAINT-DENIS;0;;2.352357;48.86949;"{""coordinates"": [2.3523570005024155, 48.86948999930912], ""type"": ""Point""}";48.86948999930912, 2.3523570005024155
1177;CHEZ LOULOU TATTOO;16;RUE ERNEST CRESSON;0;;2.329083;48.832775;"{""coordinates"": [2.3290829995971905, 48.832774999022696], ""type"": ""Point""}";48.832774999022696, 2.3290829995971905
1234;LA CAVE D EDOUARD;83;RUE LAMARCK;0;;2.335933;48.890267;"{""coordinates"": [2.3359330003046197, 48.89026699912174], ""type"": ""Point""}";48.89026699912174, 2.3359330003046197
1278;MUSCARI;82;BOULEVARD DE PORT-ROYAL;0;;2.340184;48.838955;"{""coordinates"": [2.340183999330031, 48.838954999079554], ""type"": ""Point""}";48.838954999079554, 2.340183999330031
1284;POPPY;2;RUE MILTON;0;;2.340557;48.876725;"{""coordinates"": [2.340557000174667, 48.876724999325354], ""type"": ""Point""}";48.876724999325354, 2.340557000174667
1322;LE PETIT GOURMAND;56;RUE LETORT;0;;2.344048;48.896901;"{""coordinates"": [2.344047999768015, 48.89690099935388], ""type"": ""Point""}";48.89690099935388, 2.344047999768015
1769;LEGUMES DES JOURS;109;RUE DE LA REUNION;0;;2.399562;48.857232;"{""coordinates"": [2.399562000283997, 48.857231999489194], ""type"": ""Point""}";48.857231999489194, 2.399562000283997
1776;LA TRUITE ENCHANTEE;80;RUE DE BAGNOLET;0;;2.401006;48.858462;"{""coordinates"": [2.401005999679574, 48.85846199944182], ""type"": ""Point""}";48.85846199944182, 2.401005999679574
1517;MOI ET MES ENFANTS;7;RUE DU DOCTEUR CHARLES RICHET;0;;2.364419;48.831968;"{""coordinates"": [2.3644190003546774, 48.83196799929108], ""type"": ""Point""}";48.83196799929108, 2.3644190003546774
1534;BLEND;1;BOULEVARD DES FILLES DU CALVAIRE;0;;2.366955;48.861116;"{""coordinates"": [2.3669549993658197, 48.86111599950893], ""type"": ""Point""}";48.86111599950893, 2.3669549993658197
1535;SATIO;11;RUE ALIBERT;0;;2.366956;48.871477;"{""coordinates"": [2.3669559994692007, 48.87147699948298], ""type"": ""Point""}";48.87147699948298, 2.3669559994692007
1566;LE BARLU;10;QUAI DE LA SEINE;0;;2.371216;48.88494;"{""coordinates"": [2.371215999492308, 48.88493999926906], ""type"": ""Point""}";48.88493999926906, 2.371215999492308
1631;O SOLEIL;21;RUE DE PATAY;0;;2.375449;48.824919;"{""coordinates"": [2.3754489994222623, 48.82491899925615], ""type"": ""Point""}";48.82491899925615, 2.3754489994222623
1639;COMME PIEDS NUS;58;AVENUE DE LA REPUBLIQUE;0;;2.376113;48.864819;"{""coordinates"": [2.3761129993769887, 48.864818999224525], ""type"": ""Point""}";48.864818999224525, 2.3761129993769887
1648;JOHNNY S BAR;8;BOULEVARD DE BERCY;0;;2.37777;48.839223;"{""coordinates"": [2.3777699993380557, 48.83922299900349], ""type"": ""Point""}";48.83922299900349, 2.3777699993380557
1652;L AMI PIERRE;5;RUE DE LA MAIN D OR;0;;2.378266;48.851543;"{""coordinates"": [2.378266000043114, 48.85154299870577], ""type"": ""Point""}";48.85154299870577, 2.378266000043114
1667;EPICERIE CIRCULAIRE;6;RUE PIERRE GIRARD;0;;2.379873;48.885806;"{""coordinates"": [2.3798729994373544, 48.885805999202], ""type"": ""Point""}";48.885805999202, 2.3798729994373544
1884;MUSEE D ART MODERNE DE LA VILLE DE PARIS;11;AVENUE DU PRESIDENT WILSON;0;;2.297555;48.864765;"{""coordinates"": [2.2975550002623986, 48.86476499939044], ""type"": ""Point""}";48.86476499939044, 2.2975550002623986
1941;BIBLIOTHEQUE VACLAV HAVEL;26;ESPLANADE NATHALIE SARRAUTE;0;;2.362963;48.8890077;"{""coordinates"": [2.362962999366511, 48.889007699293764], ""type"": ""Point""}";48.889007699293764, 2.362962999366511
1942;BIBLIOTHEQUE FRANCOIS VILLON;81;BOULEVARD DE LA VILLETTE;0;;2.370797;48.877205;"{""coordinates"": [2.3707969999354384, 48.877204999299174], ""type"": ""Point""}";48.877204999299174, 2.3707969999354384
1948;METRO PORTE MAILLOT;87;AVENUE DE LA GRANDE ARMEE;0;;2.282886;48.877534;"{""coordinates"": [2.282885999488505, 48.87753399914226], ""type"": ""Point""}";48.87753399914226, 2.282885999488505
1952;METRO CHATELET;0;PLACE DU CHATELET;0;;2.3475923;48.8576328;"{""coordinates"": [2.347592299750882, 48.8576327990237], ""type"": ""Point""}";48.8576327990237, 2.347592299750882
1982;METRO CONVENTION;0;PLACE GENEVIEVE-DE-GAULLE-ANTHONIOZ;0;;2.2962295;48.8374989;"{""coordinates"": [2.2962295000460617, 48.837498899346876], ""type"": ""Point""}";48.837498899346876, 2.2962295000460617
1984;METRO PORTE DE VERSAILLES;1;AVENUE ERNEST RENAN;0;;2.2880891;48.8322089;"{""coordinates"": [2.2880890998900627, 48.832208899052944], ""type"": ""Point""}";48.832208899052944, 2.2880890998900627
1839;POKE BAR CHAMPS ELYSEES;120;RUE LA BOETIE;0;;2.30686;48.871285;"{""coordinates"": [2.3068599994627137, 48.871284998952405], ""type"": ""Point""}";48.871284998952405, 2.3068599994627137
1855;GRAND POWERS;52;RUE FRANCOIS 1ER;0;;2.303157;48.869131;"{""coordinates"": [2.303157000545382, 48.86913099872929], ""type"": ""Point""}";48.86913099872929, 2.303157000545382
1858;APARTHOTEL ADAGIO PARIS NATION;15;RUE LAMBLARDIE;0;;2.397677;48.840577;"{""coordinates"": [2.397677000497832, 48.84057699873796], ""type"": ""Point""}";48.84057699873796, 2.397677000497832
1990;KAVIARI DELIKATESSEN;63;RUE DE GRENELLE;0;;2.3247993;48.8548533;"{""coordinates"": [2.3247993001961236, 48.8548532986577], ""type"": ""Point""}";48.8548532986577, 2.3247993001961236
1920;HOTEL DU ROND POINT DES CHAMPS-ELYSEES - ESPRIT DE FRANCE;10;RUE DE PONTHIEU;0;;2.3106745;48.8703839;"{""coordinates"": [2.310674500389881, 48.870383898631744], ""type"": ""Point""}";48.870383898631744, 2.310674500389881
1931;MBM PARIS;22;RUE DU TEMPLE;0;;2.3536601;48.8588189;"{""coordinates"": [2.3536601002258855, 48.85881889898656], ""type"": ""Point""}";48.85881889898656, 2.3536601002258855
