"","Identifiant.x","Lieu","Numéro.voie","Nom.voie","lon","lat","num_voie","Nom_df","Identifiant.y","Type.Objet","Modèle","Voie","Commune","Disponibilité","identifiant","type","payant","adresse.x","arrondissement","horaires_periode","horaires_lundi","horaires_mardi","horaires_mercredi","horaires_jeudi","horaires_vendredi","horaires_samedi","horaires_dimanche","adresse.y","nom_gerant","type_espace_vert","type_jardin_partage","domaine","proprietaire_terrain","statut_plu","amenagements","mail_1","internet_1","Icons","Couleur"
"1",895,"LES THES D EMILIE",76,"BOULEVARD HAUSSMANN",2.326254,48.874027,"76","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"2",928,"CENTRE PARIS ANIM  / CENTRE SOCIAL ANNIE FRATELLINI",36,"QUAI DE LA RAPEE",2.373244,48.841469,"36","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"3",1015,"L ENERGIE DES COULEURS",93,"AVENUE DE LA BOURDONNAIS",2.303369,48.855748,"93","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"4",1080,"LE WAGON BLEU",7,"RUE BOURSAULT",2.320537,48.88299,"7","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"5",1091,"MOT",6,"RUE DE CONSTANTINOPLE",2.321157,48.879819,"6","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"6",948,"LA GAITE LYRIQUE",0,"RUE PAPIN",2.353591,48.866831,"0","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"7",1352,"OPTIC 2000 PARIS CLIGNANCOURT",11,"RUE DE CLIGNANCOURT",2.347048,48.884511,"11","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"8",1361,"LB COIFFURE",3,"RUE BLEUE",2.347605,48.875762,"3","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"9",1384,"MICHELE",111,"RUE DU FAUBOURG POISSONNIERE",2.349052,48.877664,"111","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
"10",1480,"LIBRAIRIE MARUANI LIBRAIRIE CAFE LECTURE GOURMANDE",171,"BOULEVARD VINCENT AURIOL",2.360313,48.831989,"171","Commerce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shopping-cart","purple"
