identifiant;id_dicom;nom;type;payant;adresse;arrondissement;statut_ouverture;horaires_periode;horaires_lundi;horaires_mardi;horaires_mercredi;horaires_jeudi;horaires_vendredi;horaires_samedi;horaires_dimanche;geo_shape;geo_point_2d;proposition_usager
BE1;;Centre sportif Louis Lumière;Baignade extérieure;Non;30 rue Louis Lumière;75020;;Du 08 juillet au 20 août 2023;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 20h;10h - 18h;"{""coordinates"": [2.411793398262064, 48.8588415003951], ""type"": ""Point""}";48.8588415003951, 2.411793398262064;Non
BR1;<Nul>;Brumisateur Jardin Nelson Mandela;Brumisateur;Non;32 rue Berger;75001;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.3443950421462008, 48.86232591710008], ""type"": ""Point""}";48.86232591710008, 2.3443950421462008;Non
BR42;;Brumisateur Square Delaporte;Brumisateur;Non;Square Delaporte;75020;;Horaires d'ouvertures du parc;;;;;;;;"{""coordinates"": [2.413822643669087, 48.84832341420501], ""type"": ""Point""}";48.84832341420501, 2.413822643669087;Non
MA9;(3859);MAIRIE DU  9E;Mairie d'arrondissement;Non;6 rue DROUOT;75009;;;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;14h - 17h;"{""coordinates"": [2.3404810071954705, 48.87255099942344], ""type"": ""Point""}";48.87255099942344, 2.3404810071954705;Non
TB1;3097;Terrain de boules Saint Bernard;Terrain de boules;Non;21 rue Saint Bernard;75011;;;;;;;;;;"{""coordinates"": [2.3813229112671976, 48.85186385510276], ""type"": ""Point""}";48.85186385510276, 2.3813229112671976;Non
LC12;;Eglise Armenienne Saint-Jean Baptiste;Lieux de culte;Non;15  RUE JEAN GOUJON;75008;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3070610250294292, 48.86569973565576], ""type"": ""Point""}";48.86569973565576, 2.3070610250294292;Non
OMP42;;PERGOLA JARDIN DES GRANDS MOULINS - ABBE PIERRE - JARDIN DE L'AVENUE DE FRANCE;Ombrière pérenne;Non;25 RUE MARIE-ANDREE LAGROUA WEILL-HALLE;75013;;Horaires d'ouverture de l'espace vert;;;;;;;;"{""coordinates"": [2.379272724039372, 48.8289594415544], ""type"": ""Point""}";48.8289594415544, 2.379272724039372;Non
TB8;;Terrain de boules de Saint-Mandé;Terrain de boules;;21 ROUTE DU LAC DE SAINT MANDE;75012;;;;;;;;;;"{""coordinates"": [2.42314425276948, 48.838088747571994], ""type"": ""Point""}";48.838088747571994, 2.42314425276948;Non
PI42;;Aquaboulevard;Piscine;Oui;4-6 Rue Louis Armand;75015;;;;;;;;;;"{""coordinates"": [2.2761340068319096, 48.83189670311818], ""type"": ""Point""}";48.83189670311818, 2.2761340068319096;Non
LC55;19487;Eglise Notre-Dame des Champs;Lieux de culte;Non;91  BD MONTPARNASSE;75006;;Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.;;;;;;;;"{""coordinates"": [2.3271615050885033, 48.843474294883315], ""type"": ""Point""}";48.843474294883315, 2.3271615050885033;Non
