proportion_vegetation_haute;adresse;geo_shape;geo_point_2d;nom_ev;nom_gerant;type_espace_vert;type_jardin_partage;domaine;proprietaire_terrain;statut_plu;amenagements;mail_1;mail_2;internet_1;internet_2;date_fermeture
;Jardin Ver Têtu, 2 rue Bernard tétu;"{""coordinates"": [2.376422256249393, 48.89490735849091], ""type"": ""Point""}";48.89490735849091, 2.376422256249393;Le ver têtu;Régie de quartier du 19°;;CA;VP;DEVE;ZUG;cabane composteur;info@rqparis19.org;;https://www.rqparis19.org/;;
;10 rue des Rosiers;"{""coordinates"": [2.3600991236116426, 48.8568894182747], ""type"": ""Point""}";48.8568894182747, 2.3600991236116426;Jardin partagé Rosiers Joseph Migneret;Les Jardiniers du 4ème;CA;CA;VP;DEVE;PSMV;cabane;jardiniers4@gmail.com;;;;
;119 rue du Faubourg St Martin;"{""coordinates"": [2.358534147859011, 48.87447065461863], ""type"": ""Point""}";48.87447065461863, 2.358534147859011;Jardin Saint Laurent;Emmaüs solidarité;CA;CA;VP;DEVE;ZUV;cabane;jardinsinsertion@emmaus.asso.fr;;https://www.emmaus-solidarite.org/;;
;12 rue Ella Fitzgerald;"{""coordinates"": [2.3962535474624995, 48.896501258602804], ""type"": ""Point""}";48.896501258602804, 2.3962535474624995;Jardin Ella Fitzgerald;Potager 21;;CP;VP;DEVE;;abris bois - recouvrement sol avec 15cm de TV - bacs de cultures;potager21association@gmail.com;;https://www.facebook.com/jardinellafitzgerald/;https://www.helloasso.com/associations/potager21;
;2 bis cité Aubry;"{""coordinates"": [2.395538392352498, 48.85717231786922], ""type"": ""Point""}";48.85717231786922, 2.395538392352498;Le jardin de la Cité Aubry;Le jardin de la Cité Aubry;;CP;VP;DEVE;ZUGEmplacement réservé pour espace vert public;;lejardindelacite@gmail.com;;https://www.lejardindelacite.com;https://fr-fr.facebook.com/jardinciteaubry;
;Square Frida Kahlo 18 rue de Noisy le Sec / rue des fougères 75020 Paris;"{""coordinates"": [2.412409477231944, 48.872185812706945], ""type"": ""Point""}";48.872185812706945, 2.412409477231944;Le soulier des Fougères;Le soulier des Fougères;CA;CA;VP;DEVE;ZUV;conteneur, composteur, abri à insectes;soulier.fougeres@gmail.com;;;;
;Centre Chenal Saint-Blaise 14 rue du Clos;"{""coordinates"": [2.406868721582751, 48.856991621657976], ""type"": ""Point""}";48.856991621657976, 2.406868721582751;Le jardin Saint Blaise;Esperem;;AUTRE;HVP;Paris Habitat;ZUG;composteur;valerie.navarre@esperem.org;;https://esperem.org;;
;Jardin Léon Zyguel 77 rue pixérécourt;"{""coordinates"": [2.395705800305236, 48.874455781851054], ""type"": ""Point""}";48.874455781851054, 2.395705800305236;L'îlot Léon;L'îlot Léon;CA;CA;VP;DEVE;EVP;eau coffres à outils;assolilotleon@gmail.com;;;;
;3 passage des Patriarches;"{""coordinates"": [2.3503522771858063, 48.8410895371343], ""type"": ""Point""}";48.8410895371343, 2.3503522771858063;jardin les moufettes;Les moufettes;;CA;VP;DEVE;;24 m² de jardinières  maçonnées - 11 jardinières bacs bois et 1 PMR - 58 m² de  pavés enherbés - Un local de stockage de 9.40 m² -  Un point d’eau;jardinlesmouffettes@gmail.com;;;;
;25, 27 rue de l'Echiquier;"{""coordinates"": [2.3507069035640717, 48.87111003164851], ""type"": ""Point""}";48.87111003164851, 2.3507069035640717;Yilmaz Güney;école élémentaire 34 rue du Faubourg Saint Denis;CA;CA;VP;DEVE;;;;;;;
;1bis rue de Thionville;"{""coordinates"": [2.380422341557614, 48.887723292646704], ""type"": ""Point""}";48.887723292646704, 2.380422341557614;Colmar Thionville;Atoll 75;;CA;VP;DEVE;;cabane composteur;atoll75@orange.fr;;;;
